한글종목명,해당일종가,현재가,전일대비구분,전일대비,전일대비율,종가 전일대비구분,종가 전일대비,종가 전일대비율,연속일,거래강도,누적거래량,업종구분,매도총호가수량,매도총호가수량,매도1호가,매도1호가,매도 1호가 수량,매도1호가 수량,날짜
성창오토텍                              ,13100,8160,2,240,3.03,1,3000,29.7,1,361.54,111427,1,13131,14477,8160,8150,1181,300,20190119
넷게임즈                                ,13150,11400,2,400,3.64,1,3000,29.56,1,79.51,232028,1,56527,28606,11450,11400,10393,6981,20190119
세원                                    ,3450,3820,2,130,3.52,1,795,29.94,1,75.57,1269933,1,61893,27548,3820,3815,2492,171,20190119
미코                                    ,6590,5890,2,80,1.38,1,1520,29.98,1,35.82,531910,1,88809,55485,5900,5890,4148,1685,20190120
성창오토텍                              ,13100,8160,2,240,3.03,1,3000,29.7,1,361.54,111427,1,13131,14477,8160,8150,1181,300,20190120
넷게임즈                                ,13150,11400,2,400,3.64,1,3000,29.56,1,79.51,232028,1,56527,28606,11450,11400,10393,6981,20190120
세원                                    ,3450,3820,2,130,3.52,1,795,29.94,1,75.57,1269933,1,61893,27548,3820,3815,2492,171,20190120
미코                                    ,6590,5890,2,80,1.38,1,1520,29.98,1,35.82,531910,1,88809,55485,5900,5890,4148,1685,20190121
성창오토텍                              ,13100,8160,2,240,3.03,1,3000,29.7,1,361.54,111427,1,13131,14477,8160,8150,1181,300,20190121
넷게임즈                                ,13150,11400,2,400,3.64,1,3000,29.56,1,79.51,232028,1,56527,28606,11450,11400,10393,6981,20190121
세원                                    ,3450,3820,2,130,3.52,1,795,29.94,1,75.57,1269933,1,61893,27548,3820,3815,2492,171,20190121
아진산업                                ,2915,2800,2,40,1.45,1,670,29.84,1,103.58,224190,1,46875,92747,2800,2795,261,1249,20190122
EG                                      ,16400,9170,2,130,1.44,1,3750,29.64,1,49.11,12252,1,3097,2050,9170,9160,92,10,20190122
솔고바이오                              ,525,230,2,1,0.44,1,121,29.95,1,24.67,857084,1,503078,364749,231,230,103140,5294,20190122
승일                                    ,12150,9130,2,310,3.51,1,2770,29.53,1,1103.86,148631,1,711,1511,9130,9070,298,7,20190123
케이엠제약                              ,4225,2505,2,125,5.25,1,975,30,1,357.55,1785494,1,53969,72294,2510,2505,51,7458,20190123
아시아종묘                              ,9770,5800,5,10,-0.17,1,2250,29.92,1,134.32,57307,1,5914,14615,5830,5800,113,87,20190125
